date,temp,hum,percp,wspeed,pm10
2023-02-23 01:00:00,2.7,93.0,0.0,5.7,29.0
2023-02-23 02:00:00,2.0,95.0,0.0,4.2,35.0
2023-02-23 03:00:00,1.6,95.0,0.0,4.0,25.0
2023-02-23 04:00:00,1.1,95.0,0.0,3.7,23.0
2023-02-23 05:00:00,0.8,94.0,0.0,2.6,25.0
2023-02-23 06:00:00,0.8,94.0,0.0,0.7,25.0
2023-02-23 07:00:00,1.7,94.0,0.0,0.8,27.0
2023-02-23 08:00:00,5.2,84.0,0.0,0.5,31.0
2023-02-23 09:00:00,7.4,78.0,0.0,1.1,31.0
2023-02-23 10:00:00,8.5,76.0,0.0,1.5,39.0
2023-02-23 11:00:00,9.5,74.0,0.0,1.6,61.0
2023-02-23 12:00:00,9.9,73.0,0.0,3.5,58.0
2023-02-23 13:00:00,10.3,72.0,0.0,3.5,56.0
2023-02-23 14:00:00,10.0,75.0,0.0,3.5,53.0
2023-02-23 15:00:00,9.6,79.0,0.0,3.6,48.0
2023-02-23 16:00:00,8.8,85.0,0.0,5.1,43.0
2023-02-23 17:00:00,7.9,91.0,0.0,6.4,41.0
2023-02-23 18:00:00,7.2,94.0,0.0,6.8,39.0
2023-02-23 19:00:00,6.4,92.0,0.0,6.9,45.0
2023-02-23 20:00:00,5.4,94.0,0.0,7.6,43.0
2023-02-23 21:00:00,4.3,94.0,0.0,7.4,35.0
2023-02-23 22:00:00,3.8,93.0,0.0,9.2,28.0
2023-02-23 23:00:00,3.2,93.0,0.0,11.5,27.0
2023-02-24 00:00:00,2.7,93.0,0.0,11.0,27.0
2023-02-24 01:00:00,0.9,95.0,0.0,9.4,26.0
2023-02-24 02:00:00,0.5,95.0,0.0,8.5,27.0
2023-02-24 03:00:00,0.2,96.0,0.0,8.8,29.0
2023-02-24 04:00:00,-0.2,96.0,0.0,8.3,33.0
2023-02-24 05:00:00,-0.5,96.0,0.0,7.8,36.0
2023-02-24 06:00:00,-0.6,96.0,0.0,8.2,40.0
2023-02-24 07:00:00,1.5,93.0,0.0,10.5,44.0
2023-02-24 08:00:00,5.5,82.0,0.0,10.2,54.0
2023-02-24 09:00:00,8.0,74.0,0.0,12.3,57.0
2023-02-24 10:00:00,10.1,66.0,0.0,16.3,55.0
2023-02-24 11:00:00,11.6,60.0,0.0,21.5,28.0
2023-02-24 12:00:00,12.5,56.0,0.0,24.4,32.0
2023-02-24 13:00:00,12.9,54.0,0.0,25.3,32.0
2023-02-24 14:00:00,12.8,54.0,0.0,26.3,37.0
2023-02-24 15:00:00,12.3,56.0,0.0,23.2,39.0
2023-02-24 16:00:00,11.0,61.0,0.0,21.2,33.0
2023-02-24 17:00:00,9.4,68.0,0.0,20.9,39.0
2023-02-24 18:00:00,8.4,73.0,0.0,21.7,39.0
2023-02-24 19:00:00,7.9,73.0,0.0,22.9,51.0
2023-02-24 20:00:00,7.4,77.0,0.0,23.7,48.0
2023-02-24 21:00:00,6.9,81.0,0.0,23.2,53.0
2023-02-24 22:00:00,6.6,84.0,0.0,17.8,39.0
2023-02-24 23:00:00,6.3,86.0,0.0,18.6,24.0
2023-02-25 00:00:00,6.1,87.0,0.0,23.0,22.0
